name,lat,lng,country,rating
The Local Draught House,27.9510154,-82.46014520000001,USA,4.4
Station Three Inc,40.082922,-104.810858,USA,4.2
Jfk,36.8001265,10.1823115,Tunisia,3.1
Pub Drop,43.3149917,-1.9804455,Spain,4.2
Crab's Bar,11.2428427,-74.2123143,Colombia,4.8
The Storm Inn Copenhagen,55.6741259,12.5725518,Denmark,4.5
Arena Universitária,-19.7558682,-47.96488979999999,Brazil,4.2
The Four Provinces Ltd,52.4082849,-1.5307261,United Kingdom,4.3
Black Bull Inn,56.001906,-2.5160779,United Kingdom,4
The Big I Pub And Lounge,64.8453029,-147.7233037,USA,4.1
Royal Tavern,38.8587901,-104.9178449,USA,4.2
Lady Gregory's Irish Bar & Restaurant,41.977892,-87.66856,USA,4.5
NED DEVINE'S IRISH SPORTS BAR & RESTAURANT,38.950499,-77.409813,USA,4.2
Razzel's Family Restaurant & Pub,-30.7143062,30.4774175,South Africa,4.3
Chiers Sportscafe,-6.5693623,106.8000172,Indonesia,4.5
The Boot Italian Gastropub,51.4190864,-0.7378085999999999,United Kingdom,4.1
Village Pub & Poker,36.070588,-115.074333,USA,4.4
McGarry's Pub,45.0074187,-93.6556104,USA,4.5
Bar Palma,46.05584409999999,15.6616792,Slovenia,4.3
The Louth,53.34172410000001,0.261784,United Kingdom,4.3
The Cork Room,34.0135671,-118.1437111,USA,4.4
Shellback Tavern,33.8843371,-118.4111649,USA,4.4
Shuckers Waterfront Bar & Grill,25.8490094,-80.14804819999999,USA,4.2
The Old Bag of Nails Pub,40.0349391,-83.1587914,USA,4.3
Llywelyn's Pub,38.8544608,-94.66617749999999,USA,4.2
Krueger’s bar,42.9441476,-88.0376651,USA,4.9
Cadillac Country,36.015249,-96.097053,USA,4.1
The Handle Bar,41.4115282,-81.50260639999999,USA,4.1
Seaside Pub On Main,41.6490612,-70.2908625,USA,4.3
Rodeo Lounge,33.3516336,-111.4562673,USA,4.5
Miltons Head,53.2593696,-1.9104187,United Kingdom,4
Sunshine,46.8544997,9.5243851,Switzerland,4.3
Irish Pub Na Nog,48.2300478,16.3491982,Austria,4.6
John Martin's Irish Pub & Restaurant,25.749734,-80.259787,USA,4.4
Club del mar,54.99894200000001,-1.431038,United Kingdom,3.3
Grand Solis Hotel,6.900359799999999,79.8938275,Sri Lanka,4.2
The Haven Kingston SE Seafood & Take-Away,-36.828672,139.851147,Australia,4.1
Market Street Pub,46.6653043,-122.970377,USA,4.3
Old English Pub Prince Charles,47.0672905,15.4269392,Austria,4
The Elihu Yale,53.047069,-2.9969123,United Kingdom,4.1
Leydi Pub,37.1570224,38.7878141,Turkey,3.4
Jack of the Wood,35.5943731,-82.55576300000001,USA,4.5
Raglan Road Irish Bar,52.9555874,-1.1603354,United Kingdom,4.3
Starbucks,39.610607,-86.15777,USA,4
Il Birraio,43.946434,12.456352,San Marino,3.9
Espit Chupitos Toulon,43.1205303,5.9328886,France,4.5
The Chug,40.1969954,-85.40582739999999,USA,4.1
Pub 222,41.913376,-88.316434,USA,4.3
Mecca Bingo Wakefield,53.6775167,-1.5066679,United Kingdom,4
Market Tavern,54.77710949999999,-1.5758665,United Kingdom,4.1
Liverpool,41.6461371,-4.7260359,Spain,4
The Auld Vic,56.00599219999999,-3.7841131,United Kingdom,4.4
Backstage Kitchen & Bar,33.8543574,35.5411252,Lebanon,4.2
Round Up Saloon,40.1763607,-122.2351932,USA,4.4
Aangan Bar & Restaurant,29.4681679,77.70329339999999,India,3.5
Mike's Dairy Bar,40.8286311,-83.2897529,USA,4.7
Pirate's Landing,26.0783286,-97.2065957,USA,4.4
Fatty's Pub & Grill,41.9305723,-88.7782917,USA,4.3
Pillbox Tavern,32.9913352,-117.2720981,USA,4.5
Pub Tantra Granada,37.1782766,-3.598532,Spain,4.2
Suburban Bar & Liquors,40.307091,-74.00005,USA,3.9
Urbanaut Brewing Cellar Door,-36.8732086,174.7373135,New Zealand,4.9
Willow Street Restaurant,39.986125,-76.280484,USA,4.2
Kenny's Irish Pub,41.7900002,-87.879993,USA,4.4
Gate Garage | American Bar,-1.4488143,-48.4920062,Brazil,5
Arnesto Cultural Butiquim,-20.6561749,-43.78720149999999,Brazil,4.5
Hayride,53.8582845,-0.4344561,United Kingdom,3.7
Tutto Pizza & Pasta,25.6951525,-80.1637834,USA,4.2
TreeTop Bar,25.7962222,55.96871160000001,Al Jazah Rd - Ras Al-Khaimah - United Arab Emirates,4.4
O Brassin Belge,48.0018816,0.1966919,France,4.5
Collector's Choice Restaurant,47.9135635,-122.0841911,USA,4.1
The Settler's Tavern,-33.4261323,151.3297544,Australia,4.1
D'Laney's Sports Bar & Grill,35.7845424,-80.8890557,USA,4.4
Monk Blues Cóctel Bar,42.2359181,-8.7170773,Spain,4.6
Jo+ Beer – Craft Beer Bar,17.893082,101.64945,Thailand,4.5
Pub La Vitrola,-40.5738052,-73.140148,Chile,4.3
Camden Town Pub - La Malagueta,36.720077,-4.408154,Spain,4.3
Cateto's Bar e Petiscaria,-22.1383633,-51.39228929999999,Brazil,4.7
Dukes Bar & Grill,53.4202672,-3.0455343,United Kingdom,3.8
Red John Irish Pub,47.2060916,7.5358855,Switzerland,4.5
Crazy Fish Bar And Grill,27.8974044,-81.60175919999999,USA,4.5
McTeague's Saloon,37.7883785,-122.4204317,USA,4.2
Jiuhoujiu,34.253473,108.944079,China,0
The Pat Connolly Tavern,38.6313543,-90.2925838,USA,4.5
